response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
EC__1__1__1__373	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
EC__1__1__1__38	3821.55	3391.52	3165.38	3285.31	3299.41	3319.06	1448.16
EC__1__1__1__380	 18.00	227.43	  3.00	314.00	 32.21	189.00	 41.08
EC__1__1__1__381	 7.17	 6.43	 0.00	 0.00	30.21	 0.00	 1.08
EC__1__1__1__387	0	0	0	0	0	0	0
EC__1__1__1__4	22.83	20.00	 7.00	 9.67	 3.66	 3.67	 7.67
EC__1__1__1__40	 441.68	 209.43	 881.21	 516.98	 361.96	1139.75	  19.08
EC__1__1__1__41	 618.50	 778.33	 427.50	2225.75	 899.25	  32.50	2054.25
EC__1__1__1__42	3037.91	3154.17	3082.19	2336.94	2841.17	4068.98	 587.25
EC__1__1__1__44	 425.67	 584.94	 695.04	 733.61	 471.44	1124.75	 188.08
EC__1__1__1__47	 46.99	159.03	  9.98	182.49	 28.00	301.49	 94.50
EC__1__1__1__49	 407.17	 441.94	 599.04	 681.61	 424.45	1114.75	 100.75
EC__1__1__1__56	0	0	0	0	0	0	0
EC__1__1__1__57	 392.33	 552.77	 833.66	 352.33	1306.21	1991.33	 119.08
EC__1__1__1__58	 632.67	 742.78	1273.87	1065.97	1577.96	2239.41	 153.08
EC__1__1__1__6	1404.02	 899.79	1521.98	2249.41	2382.12	1237.66	1104.50
EC__1__1__1__60	 460.66	2229.88	 369.32	1812.66	1247.42	 774.66	2276.86
EC__1__1__1__61	 28.07	138.43	 17.33	127.67	 36.21	349.00	 90.28
EC__1__1__1__67	 8.3	 0.0	41.5	 4.5	13.0	 1.0	 1.0
EC__1__1__1__69	2207.31	1115.46	2330.69	1718.63	2141.71	4005.07	1078.78
EC__1__1__1__76	 91.46	140.24	 22.06	 43.90	139.46	 40.40	 33.47
EC__1__1__1__77	2312.20	2636.27	2331.58	3599.08	3307.04	3423.08	2290.78
EC__1__1__1__79	 1.00	 3.43	 5.00	 0.00	29.21	 0.00	 1.08
EC__1__1__1__81	  31.50	1028.76	 167.00	  90.00	  53.21	  90.00	  60.08
EC__1__1__1__83	 6.33	24.44	 2.66	 8.33	33.96	38.33	21.28
EC__1__1__1__85	4368.90	4001.01	4048.43	4629.96	3741.75	4391.98	2674.25
EC__1__1__1__86	4723.57	3866.00	3996.77	4482.63	3736.41	4167.65	2616.25
EC__1__1__1__88	 88.16	145.23	  2.40	 41.90	212.46	 82.07	 27.67
EC__1__1__1__9	0	0	0	0	0	0	0
EC__1__1__1__90	 6.33	31.01	 3.66	 8.33	 8.00	37.33	18.00
EC__1__1__1__91	2	0	5	0	0	0	1
EC__1__1__1__93	 6.33	24.44	 2.66	 8.33	33.96	38.33	21.28
EC__1__1__1__94	4314.07	4071.33	4176.77	4593.96	4069.32	4235.65	2706.33
EC__1__1__1__95	6226.96	6668.89	6472.56	7390.51	5809.33	7704.96	4213.16
EC__1__1__2__3	10.67	 4.43	 0.00	 2.00	29.21	 1.00	 2.08
EC__1__1__2__4	  7.0	  0.0	 87.5	  1.0	160.0	 16.0	  2.0
EC__1__1__2__8	0	0	0	0	0	0	0
EC__1__1__3__15	1117.93	 135.27	 463.99	  56.08	 557.21	 159.33	 172.03
EC__1__1__3__21	 2.50	32.00	 0.00	 9.50	 5.33	 1.00	 6.67
EC__1__1__3__46	0	0	0	0	0	0	0
EC__1__1__3__48	0.4	0.0	0.0	1.0	1.0	0.0	7.0
EC__1__1__3__6	0	0	0	0	0	0	0
EC__1__1__5__2	 1.50	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__1__5__3	2617.58	3178.75	2561.55	4301.17	2573.17	2630.99	2062.82
EC__1__1__5__4	 9.67	 4.43	 0.00	 2.00	29.21	 1.00	 1.88
EC__1__1__5__6	 0.00	 6.86	 0.00	 0.00	58.42	 0.00	 2.16
EC__1__1__5__8	1.5	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__1__9__1	0	0	0	0	0	0	0
EC__1__1__98__3	0.5	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__1__99__1	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__1__99__3	0	0	0	0	0	0	0
EC__1__10__2__2	0	0	0	0	0	0	0
EC__1__10__3__12	0	0	0	0	0	0	0
EC__1__10__3__3	0	0	0	0	0	0	0
EC__1__11__1__1	 7	19	 0	 3	 4	 0	 8
EC__1__11__1__10	 159.67	 710.06	 213.40	1011.80	 887.55	  35.40	1308.75
EC__1__11__1__15	4914.68	4862.27	5291.75	7490.70	5020.86	6522.21	4625.12
EC__1__11__1__19	2.5	1.0	0.0	2.0	0.0	1.0	0.0
EC__1__11__1__21	14.67	 3.43	 0.00	 0.00	36.71	 0.00	 1.08
EC__1__11__1__5	 68.46	168.43	 67.38	 24.76	 51.46	  3.00	  4.28
EC__1__11__1__6	158.64	275.09	298.75	152.75	 82.71	124.75	 24.58
