Row.names	v1	response	LDA	p_value	log2_FC	Pvalue	fdr
K00284	2.76784331509287	Nonresponder	2.02027822291018	0.033894853524689274	-0.442510241836403	0.0571428571428571	1
K00575	2.49879621418839	Responder	2.00663268180993	0.07709987174354196	1.22916123630062	0.228571428571429	1
K00764	3.11848904950766	Nonresponder	2.14832684802431	0.033894853524689274	-0.203066417649278	0.4	1
K00790	3.09540835416992	Responder	2.17009775362339	0.033894853524689274	0.422231460256995	0.0571428571428571	1
K00874	3.0022505991227	Nonresponder	2.2413737106522	0.033894853524689274	-0.593139686487472	0.0571428571428571	1
K00876	2.99850982440718	Responder	2.10469450121543	0.07709987174354196	0.324367294330089	0.4	1
K01008	2.66425854703143	Responder	2.12434766492624	0.07709987174354196	0.882544647140521	0.114285714285714	1
K01159	2.64654191809316	Responder	2.092397780696	0.033894853524689274	1.15163513786406	0.0571428571428571	1
K01163	2.81163645610843	Responder	2.12807191796946	0.033894853524689274	0.602442255055498	0.114285714285714	1
K01197	2.52348661268251	Nonresponder	2.12256812723768	0.033894853524689274	-1.4820719041395	0.0571428571428571	1
K01409	3.04413645630379	Responder	2.0849775659156	0.033894853524689274	0.434327372938399	0.0571428571428571	1
K01443	3.0131858982638	Nonresponder	2.15575649793674	0.07709987174354196	-0.30042212435421	0.228571428571429	1
K01546	2.69092527792089	Nonresponder	2.03933535239228	0.07709987174354196	-0.601296155276153	0.0571428571428571	1
K01571	2.75013146726989	Responder	2.05237826377682	0.033894853524689274	0.637069195995013	0.0571428571428571	1
K01625	2.95089873231628	Nonresponder	2.2401750608523	0.033894853524689274	-0.620126246914423	0.0571428571428571	1
K01876	2.97638619992315	Responder	2.05910823664371	0.07709987174354196	0.288912188264376	0.114285714285714	1
K02010	2.63221078587993	Nonresponder	2.02544464471263	0.07709987174354196	-0.775095768832402	0.114285714285714	1
K02012	2.53779379341194	Nonresponder	2.02320151446327	0.07709987174354196	-0.86738256850623	0.114285714285714	1
K02028	3.16588800572364	Responder	2.21067366209933	0.07709987174354196	0.196684644983207	0.4	1
K02049	3.02683282659042	Responder	2.36200293343542	0.07709987174354196	0.698872069027235	0.114285714285714	1
K02051	3.03733734170714	Responder	2.03905276032978	0.07709987174354196	0.297526151092011	0.228571428571429	1
K02226	2.94086666873745	Responder	2.11350785415089	0.07709987174354196	0.621013489564355	0.228571428571429	1
K02334	2.58204972394162	Responder	2.03278075967718	0.033894853524689274	1.66022017476912	0.0571428571428571	1
K02392	2.73775685983628	Responder	2.22973821480033	0.07709987174354196	1.26741753561311	0.228571428571429	1
K02469	3.12667694198672	Responder	2.09812093321832	0.033894853524689274	0.250422289043806	0.4	1
K02470	3.12368833594014	Responder	2.01107713863146	0.033894853524689274	0.248069121405951	0.4	1
K02495	3.1528750442642	Responder	2.17299941271496	0.033894853524689274	0.352765917126013	0.114285714285714	1
K02499	2.67854620079068	Responder	2.20932922823505	0.033894853524689274	1.72742793883929	0.0571428571428571	1
K02529	3.60535803891522	Nonresponder	2.21310233834618	0.07709987174354196	-0.139192256407112	0.4	1
K02557	2.49756065771768	Responder	2.02867865581986	0.07709987174354196	1.40952091611699	0.114285714285714	1
K02622	2.61006584650653	Nonresponder	2.00472637581856	0.033894853524689274	-0.789579511833146	0.0571428571428571	1
K03091	3.5004055565264	Responder	2.46040309012697	0.07709987174354196	0.416870168137881	0.0571428571428571	1
K03408	2.54824601567659	Responder	2.11008286815248	0.07709987174354196	1.61417713378055	0.114285714285714	1
K03413	2.59604660681136	Responder	2.0047604470198	0.07709987174354196	0.886870920859922	0.228571428571429	1
K03480	2.60944527944381	Nonresponder	2.15039810369191	0.07709987174354196	-1.21351550510647	0.114285714285714	1
K03564	2.65943611700151	Nonresponder	2.09906215666945	0.07709987174354196	-1.14171378679966	0.114285714285714	1
K03660	2.73190628619148	Responder	2.06846255257163	0.033894853524689274	0.730078601273217	0.0571428571428571	1
K03704	3.05238857769492	Nonresponder	2.37326082424584	0.07709987174354196	-0.600020434815373	0.114285714285714	1
K03743	2.687768644256	Nonresponder	2.00130947656233	0.033894853524689274	-0.758717461325158	0.0571428571428571	1
K03785	2.70278782325132	Nonresponder	2.01353329170238	0.07709987174354196	-0.630994819589733	0.114285714285714	1
K03786	2.66816632630385	Responder	2.11916314719062	0.033894853524689274	1.21806055057118	0.0571428571428571	1
K04069	3.36326862976753	Nonresponder	2.1315824242044	0.07709987174354196	-0.170322923030302	0.4	1
K04070	2.67519940396119	Responder	2.02024135617452	0.033894853524689274	0.740303662528629	0.228571428571429	1
K04074	2.60522125532135	Responder	2.11809822407667	0.033894853524689274	1.71405843560275	0.0571428571428571	1
K04487	3.14527564213642	Responder	2.27260438338886	0.033894853524689274	0.41374528483156	0.0571428571428571	1
K04769	2.73315380647114	Responder	2.05021772200004	0.033894853524689274	0.745703980286298	0.0571428571428571	1
K05515	2.91359715897607	Responder	2.21362761024052	0.07709987174354196	0.640236137955077	0.4	1
K06148	2.94951638640599	Nonresponder	2.42666857417772	0.07709987174354196	-0.951923249651559	0.114285714285714	1
K06180	3.32650047765491	Nonresponder	2.24905315674415	0.07709987174354196	-0.0853123008922499	0.4	1
K06206	2.65560538364567	Responder	2.00844372550709	0.07709987174354196	0.82843463049043	0.114285714285714	1
K06283	2.73363512338414	Responder	2.03640461338295	0.033894853524689274	0.745142642397313	0.0571428571428571	1
K06284	2.71189083368262	Responder	2.24869046626246	0.033894853524689274	2.01165732812857	0.0571428571428571	1
K06295	2.51290165827529	Responder	2.06087874887159	0.033894853524689274	1.9571006674248	0.0571428571428571	1
