Row.names	v1	response	LDA	p_value	log2_FC	Pvalue	fdr
K07789	0.278329511962692		NA	-	-1.52920458157413	1	1
K07790	0		NA	-	NA	NA	NA
K07791	1.95870496797444		NA	-	-0.102725533632029	0.857142857142857	1
K07792	1.07541931714952		NA	-	0.63745580581116	0.628571428571429	1
K07793	1.684261569829		NA	-	0.0447938278649143	0.4	1
K07794	0.879565989411024		NA	-	-1.44339154573699	0.475532659596901	1
K07795	0.764973919853918		NA	-	0.410983653110654	0.628571428571429	1
K07796	0.15795749655999		NA	-	-2.67662426602802	0.84535586035979	1
K07797	0.15795749655999		NA	-	-2.67662426602802	0.84535586035979	1
K07798	0.736821069388467		NA	-	0.940572279516168	0.4	1
K07799	0.360358210884338		NA	-	-1.74994906256246	1	1
K07800	0		NA	-	NA	NA	NA
K07803	0.301644156325808		NA	-	-3.07316457845667	0.35901205378643	1
K07804	0		NA	-	NA	NA	NA
K07806	0.177113005654837		NA	-	-2.35842468848511	1	1
K07810	0.173557085369178		NA	-	-2.71556576233396	0.84535586035979	1
K07811	0.161642914678299		NA	-	-2.68890677546422	0.84535586035979	1
K07812	0.899821447729257		NA	-	1.37595893219934	0.228571428571429	1
K07813	2.32968238226881		NA	0.033894853524689274	1.59845060540768	0.0571428571428571	1
K07814	2.62705225888096		NA	-	0.194246943662674	1	1
K07816	3.09720642015599		NA	0.07709987174354196	-0.343499185236309	0.228571428571429	1
K07821	0.15795749655999		NA	-	-1.26896708333295	0.854445067629532	1
K07823	0		NA	-	NA	NA	NA
K07862	1.54472030530377		NA	-	0.692584912260268	0.228571428571429	1
K07979	3.08886978942901		NA	-	0.102231447347196	0.628571428571429	1
K08068	1.06388177716847		NA	0.027707849358079833	7.93859370808944	0.0435966448855414	1
K08081	0		NA	-	-18.9315714547114	0.563702861650773	1
K08082	0		NA	-	NA	NA	NA
K08083	0		NA	-	NA	NA	NA
K08084	0.372862983350893		NA	0.07775989643932954	23.5754248745145	0.122744682325921	1
K08085	0		NA	-	NA	NA	NA
K08086	0		NA	-	NA	NA	NA
K08087	0		NA	-	NA	NA	NA
K08088	0		NA	-	NA	NA	NA
K08092	0.988935097100573		NA	-	-0.467149143643659	0.4	1
K08093	1.96252505966723		NA	-	-0.401234770579692	0.857142857142857	1
K08094	2.27640966161878		NA	-	-0.384026964963127	0.857142857142857	1
K08097	0		NA	-	NA	NA	NA
K08137	0.177113005654837		NA	-	-2.72752252602953	0.84535586035979	1
K08138	1.92152464091829		NA	-	-0.305442172473568	1	1
K08139	0		NA	-	NA	NA	NA
K08151	0.634668566216134		NA	-	1.83727033372899	0.4	1
K08152	0.00153275280581939		NA	-	0.830074788164716	0.825497910704632	1
K08153	2.08213635762815		NA	-	-1.37860125796044	0.857142857142857	1
K08154	0.177113005654837		NA	-	-2.72752252602953	0.84535586035979	1
K08156	1.9603547348425		NA	-	-0.121489256574117	1	1
K08159	1.03782799618097		NA	-	-0.0425538843198483	0.628571428571429	1
K08160	0.177113005654837		NA	-	-2.72752252602953	0.84535586035979	1
K08161	1.14419520861407		NA	-	0.504122725037431	0.4	1
K08162	0.177113005654837		NA	-	-2.72752252602953	0.84535586035979	1
K08163	0.161642914678299		NA	-	-2.68890677546422	0.84535586035979	1
K08164	0		NA	-	NA	NA	NA
K08166	0		NA	-	0.999997114618575	0.825497910704632	1
K08167	0		NA	-	0.321927854438369	1	1
K08168	0		NA	-	0.830074577771853	0.368065506305485	1
K08169	1.8517418941602		NA	-	0.26666139829377	1	1
K08170	0		NA	-	NA	NA	NA
K08172	0.340466815448493		NA	-	-2.90656404735273	0.84535586035979	1
K08173	0.278329511962692		NA	-	-2.98825297321429	0.558452157283156	1
K08177	2.3391726688209		NA	-	0.636291400973809	0.228571428571429	1
K08178	0		NA	-	NA	NA	NA
K08191	2.00015003420501		NA	-	-0.452632062861665	0.857142857142857	1
K08194	0.161642914678299		NA	-	-2.68890677546422	0.84535586035979	1
K08195	0		NA	-	NA	NA	NA
K08217	2.17805772564375		NA	-	-0.473869117190681	0.628571428571429	1
K08218	2.23192841648801		NA	-	-0.225256208594144	1	1
K08219	0.214077386752051		NA	-	-2.39101715664093	1	1
K08221	0		NA	-	NA	NA	NA
K08222	0.899542598228149		NA	-	1.05599619333963	0.721276699029156	1
K08223	1.82006736390831		NA	-	0.265190910621427	1	1
K08224	0.219969293861105		NA	-	-0.283226611158648	0.628571428571429	1
K08225	0.177113005654837		NA	-	-2.72752252602953	0.84535586035979	1
K08227	0.177113005654837		NA	-	-2.72752252602953	0.84535586035979	1
K08234	2.31726380839302		NA	0.07709987174354196	-1.35962716236615	0.228571428571429	1
K08255	0		NA	-	NA	NA	NA
K08256	0		NA	-	0.85560972185573	0.207617411154846	1
K08258	0		NA	-	NA	NA	NA
K08259	0		NA	-	NA	NA	NA
K08276	0.309837686534298		NA	-	0.55214063844622	1	1
K08277	0.161642914678299		NA	-	-2.68890677546422	0.84535586035979	1
K08279	0.161642914678299		NA	-	-2.68890677546422	0.84535586035979	1
K08280	1.06388177716847		NA	0.027707849358079833	7.93859370808944	0.0435966448855414	1
K08281	0.830435066891043		NA	-	0.605700116948055	0.228571428571429	1
K08282	0		NA	-	-1.5345563309355	0.854445067629532	1
K08289	1.94362567769532		NA	-	-0.238025559124499	1	1
K08295	0		NA	-	NA	NA	NA
K08296	0.64153778006126		NA	-	0.268386063820239	0.37245586998137	1
K08297	0.404104898367863		NA	-	-0.857776727634997	1	1
K08298	0.784554772036839		NA	-	-0.220353519128272	1	1
K08299	0.404104898367863		NA	-	-0.857776727634997	1	1
K08300	0.988629020238225		NA	-	0.0467828198862125	0.628571428571429	1
K08301	2.62928211169362		NA	-	0.151505206039342	0.857142857142857	1
K08302	2.16275804695181		NA	0.033894853524689274	-1.02753749995637	0.0571428571428571	1
K08303	3.19590270939437		NA	-	0.112102151963174	0.857142857142857	1
K08304	0.686894005349565		NA	-	0.815140352475611	0.4	1
K08305	0.686894005349565		NA	-	0.815140352475611	0.4	1
K08306	0.323146211649843		NA	-	-1.32037704424593	0.721276699029156	1
K08307	1.97303912654677		NA	-	-0.046470212613603	1	1
K08308	0.177113005654837		NA	-	-2.72752252602953	0.84535586035979	1
K08309	2.44838315834167		NA	0.033894853524689274	1.71121710358608	0.0571428571428571	1
K08310	0.312642119169649		NA	-	-0.611408756670904	0.37245586998137	1
