Row.names	v1	response	LDA	p_value	log2_FC	Pvalue	fdr
EC.1.1.1.17	2.54000071106575	Responder	2.04327509876148	0.0373729883406515	1.46860316986782	0.00865800865800866	0.973071471957886
EC.1.12.99.6	2.32677960019617	Responder	2.08055681686156	0.0373729883406515	3.07012816814662	0.0411255411255411	0.973071471957886
EC.1.2.1.70	2.76215897442549	Responder	2.04279051648389	0.05466393589167521	0.798902929915465	0.0411255411255411	0.973071471957886
EC.1.2.7.1	3.41282274421663	Responder	2.32416977941511	0.016309171877755033	0.303156355459563	0.0930735930735931	0.973071471957886
EC.2.1.1.80	2.7150966783891	Responder	2.03541325829007	0.07816908582428352	0.692707771883067	0.17965367965368	0.973071471957886
EC.2.3.1.179	3.210228755605	Responder	2.017333106974	0.05466393589167521	0.238173832266661	0.0930735930735931	0.973071471957886
EC.2.4.1.315	2.59361949196005	Responder	2.17053497947211	0.0104056198688736	1.51676028074458	0.00865800865800866	0.973071471957886
EC.2.7.1.15	3.0229395964122	Responder	2.06460220501696	0.0373729883406515	0.389713423905479	0.24025974025974	0.973071471957886
EC.2.7.7.56	2.45975230700733	Responder	2.08090305023397	0.016309171877755033	2.04139898357672	0.0151515151515152	0.973071471957886
EC.2.7.7.63	2.51596258678077	Responder	2.0090204942913	0.016309171877755033	1.25796281571406	0.025974025974026	0.973071471957886
EC.2.7.7.9	2.90939785637025	Responder	2.21711532834818	0.0373729883406515	0.778557847470247	0.025974025974026	0.973071471957886
EC.2.7.9.3	2.927210671748	Responder	2.24650136033994	0.016309171877755033	0.775702394626348	0.0411255411255411	0.973071471957886
EC.2.8.3.8	2.60697685678785	Responder	2.11230845047352	0.0373729883406515	1.49541232025773	0.0649350649350649	0.973071471957886
EC.2.8.3.9	2.59624560823515	Responder	2.10746740788563	0.07816908582428352	1.52933898811304	0.0930735930735931	0.973071471957886
EC.3.1.1.61	2.57852444852005	Responder	2.00152256665301	0.05466393589167521	0.951980324929715	0.132034632034632	0.973071471957886
EC.3.2.1.1	2.82804827059003	Responder	2.04159152060982	0.0373729883406515	0.595650265866933	0.132034632034632	0.973071471957886
EC.3.4.21.89	3.57450015133612	Nonresponder	2.30354505499102	0.07816908582428352	-0.122376307307963	0.699134199134199	0.973071471957886
EC.4.1.1.65	3.07386907050984	Nonresponder	2.02266659152337	0.05466393589167521	-0.201185328852316	0.132034632034632	0.973071471957886
EC.4.1.1.98	2.66535235825979	Responder	2.0656803478683	0.07816908582428352	0.929946806504738	0.132034632034632	0.973071471957886
EC.4.1.2.14	3.18644200100147	Nonresponder	2.3322428410387	0.05466393589167521	-0.401569156472649	0.24025974025974	0.973071471957886
EC.4.1.3.42	3.1863579508643	Nonresponder	2.33290678667239	0.05466393589167521	-0.402429376958357	0.24025974025974	0.973071471957886
EC.4.2.1.24	2.77510913569579	Responder	2.03744874120335	0.0373729883406515	0.757634465178773	0.0411255411255411	0.973071471957886
EC.4.4.1.16	2.88105283829871	Nonresponder	2.16624945448669	0.05466393589167521	-0.626097916908052	0.132034632034632	0.973071471957886
EC.4.4.1.8	3.46563340350214	Nonresponder	2.49868907749246	0.016309171877755033	-0.258641561227488	0.17965367965368	0.973071471957886
EC.5.4.3.8	2.83557725135841	Responder	2.17956935403865	0.006485307970671402	0.941704635337864	0.0151515151515152	0.973071471957886
EC.6.3.2.4	3.20443646019307	Responder	2.01537020001731	0.07816908582428352	0.218450303088498	0.0930735930735931	0.973071471957886
EC.6.3.5.5	3.65129356477216	Nonresponder	2.26194989358562	0.05466393589167521	-0.0642060876592765	0.484848484848485	0.973071471957886
