response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
EC__1__1__1__3	5079.86	4841.70	4478.43	4549.44	3331.83	5817.58	4156.33	5415.54	5449.20	4890.65	2811.91	3197.80
EC__1__1__1__30	28	 8	18	 5	10	 0	 2	 4	 3	30	 6	 2
EC__1__1__1__301	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__1__302	 91	  7	112	  2	 47	  5	  6	 44	  3	 79	 50	 13
EC__1__1__1__303	22.50	22.83	20.00	 7.00	10.00	 9.17	 4.33	 9.67	 3.66	 3.67	 7.67	22.33
EC__1__1__1__304	 83.30	 91.46	140.24	 22.06	  7.80	 59.60	  2.33	 43.90	139.46	 40.40	 33.47	 12.13
EC__1__1__1__305	 0.14	18.00	 4.43	 0.00	 0.89	 9.39	 0.00	10.00	32.21	 6.00	 1.08	 1.00
EC__1__1__1__306	2.0	2.0	1.0	0.0	0.0	0.5	0.0	2.0	0.0	1.0	0.0	1.0
EC__1__1__1__31	1277.08	 449.73	2194.01	 412.16	 916.25	1346.50	 269.75	1765.16	1351.00	 594.83	2274.00	 447.50
EC__1__1__1__312	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__1__313	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__1__320	20	 4	 0	50	 0	 0	 0	 3	12	 0	 2	 0
EC__1__1__1__333	0.0	0.5	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__1__1__335	20.00	16.17	 0.00	65.33	 0.83	 0.00	 1.00	 9.67	12.00	 0.00	 2.00	 5.00
EC__1__1__1__336	  4.26	 97.39	335.43	 42.55	 14.30	 26.89	 30.50	 44.10	 46.46	  3.25	  2.08	 15.51
EC__1__1__1__337	  0	  5	 60	  0	  3	  2	  1	103	  0	 15	 12	  3
