	F0008	F0014	F0026	F0032	F0052	F0056	F0058	F0066	F0076	F0078	F0082	F0084	F0098	F0099	F0100	F0117	F0130	F0138	F0139	F0141	F0145	F0148	F0153	F0155	F0170	F0171	F0177	F0181	H0001	H0013	H0020	H0054	H0055	H0060	H0063	H0065	H0070	H0074	H0085	H0086	H0148	H0149	H0172	H0180	H0202	H0210	H0211	H0270	H0277	H0280	H0281	H0289	H0303	H0322	H0323	H0349	H0368	H0372	H0377	H0391	H0392	H0407	H0427	H0447	H0456	H0475	H0479	H0741
H0368	0.8164	0.8928	0.8498	0.7988	0.9348	0.7196	0.8694	0.878	0.874	0.899	0.9794	0.8892	0.8822	0.7996	0.9374	0.85	0.8014	0.8952	0.8842	0.9066	0.9218	0.8954	0.7962	0.8736	0.8444	0.9286	0.9266	0.8514	0.7716	0.8742	0.932	0.9474	0.9228	0.8914	0.9132	0.8896	0.8832	0.9532	0.9368	0.8724	0.9206	0.7306	0.9274	0.9456	0.9154	0.7762	0.9034	0.5822	0.8638	0.767	0.9344	0.9584	0.7476	0.9028	0.9188	0.8868	0.0	0.877	0.7962	0.7452	0.7534	0.9298	0.9356	0.829	0.8806	0.9	0.7592	0.8876
H0372	0.782	0.766	0.698	0.7458	0.8592	0.8252	0.4464	0.6782	0.7338	0.701	0.9872	0.6982	0.7768	0.794	0.7154	0.7832	0.7542	0.9358	0.7776	0.9012	0.7086	0.709	0.8512	0.8214	0.8066	0.7488	0.8284	0.7882	0.8824	0.463	0.8352	0.933	0.8156	0.935	0.7332	0.7954	0.8082	0.9344	0.87	0.426	0.862	0.8356	0.8918	0.7856	0.7108	0.7262	0.4072	0.9314	0.6892	0.5646	0.8814	0.9128	0.824	0.7044	0.7252	0.7524	0.877	0.0	0.7294	0.808	0.7302	0.9584	0.7988	0.5342	0.4824	0.837	0.9008	0.8948
H0377	0.5184	0.679	0.7024	0.71	0.861	0.74	0.6844	0.7166	0.7102	0.717	0.9662	0.7088	0.7996	0.767	0.9002	0.907	0.605	0.8806	0.7454	0.8638	0.7576	0.7676	0.7714	0.7872	0.7818	0.7702	0.8386	0.7824	0.8182	0.6868	0.8688	0.898	0.8258	0.886	0.8224	0.6958	0.7694	0.9396	0.8468	0.7096	0.8284	0.4058	0.7964	0.805	0.7428	0.6784	0.7582	0.7838	0.6156	0.65	0.829	0.9066	0.7392	0.7038	0.736	0.838	0.7962	0.7294	0.0	0.5018	0.6134	0.9306	0.8176	0.6896	0.7156	0.736	0.62	0.8118
H0391	0.5646	0.7616	0.7198	0.6754	0.8514	0.7	0.753	0.763	0.7732	0.781	0.956	0.7674	0.8594	0.741	0.9254	0.9088	0.6102	0.8642	0.8008	0.8138	0.8084	0.8012	0.7224	0.8574	0.8136	0.846	0.8522	0.7488	0.8142	0.7276	0.9144	0.9016	0.8584	0.892	0.873	0.8268	0.7958	0.9434	0.819	0.761	0.7834	0.4352	0.835	0.8526	0.8006	0.6356	0.826	0.7356	0.7702	0.6612	0.8452	0.9022	0.687	0.777	0.785	0.8844	0.7452	0.808	0.5018	0.0	0.6634	0.917	0.8696	0.696	0.7552	0.7668	0.5916	0.801
H0392	0.6244	0.7336	0.686	0.6784	0.8468	0.7046	0.7194	0.7262	0.7502	0.7236	0.9646	0.6384	0.7916	0.643	0.9204	0.904	0.6972	0.8988	0.8048	0.8618	0.7482	0.7552	0.7502	0.7882	0.7442	0.754	0.7342	0.7454	0.8196	0.7372	0.8582	0.921	0.8114	0.8938	0.7686	0.7044	0.7072	0.9414	0.8376	0.7504	0.8288	0.6894	0.8112	0.8018	0.7546	0.6634	0.7638	0.8268	0.6646	0.6792	0.8452	0.9132	0.6776	0.7442	0.7142	0.7376	0.7534	0.7302	0.6134	0.6634	0.0	0.841	0.765	0.7366	0.7442	0.7696	0.7802	0.8764
H0407	0.8896	0.915	0.9344	0.8998	0.9374	0.9526	0.9272	0.9462	0.9404	0.9188	0.9646	0.8342	0.9338	0.8016	0.9354	0.94	0.8832	0.8734	0.9342	0.8748	0.9198	0.9156	0.8918	0.8822	0.9266	0.8946	0.803	0.9372	0.704	0.9428	0.9036	0.9386	0.9324	0.8978	0.8548	0.8424	0.8856	0.9848	0.937	0.9508	0.9092	0.8652	0.9046	0.9442	0.9322	0.9104	0.9438	0.905	0.8846	0.937	0.9358	0.9588	0.7952	0.9448	0.9064	0.659	0.9298	0.9584	0.9306	0.917	0.841	0.0	0.905	0.9528	0.9506	0.9028	0.9188	0.8994
H0427	0.7998	0.7478	0.7456	0.8308	0.4468	0.8904	0.7572	0.7652	0.8204	0.7558	0.9928	0.7356	0.8514	0.824	0.9388	0.9522	0.793	0.9488	0.806	0.931	0.7472	0.7754	0.8592	0.858	0.8476	0.74	0.8458	0.8092	0.8922	0.7822	0.8522	0.9362	0.359	0.9466	0.7966	0.807	0.7972	0.946	0.4792	0.7882	0.8616	0.9032	0.9012	0.3706	0.7618	0.8314	0.7994	0.9568	0.7536	0.7714	0.9084	0.4924	0.8448	0.7836	0.7636	0.83	0.9356	0.7988	0.8176	0.8696	0.765	0.905	0.0	0.8056	0.7994	0.8892	0.9464	0.9382
H0447	0.69	0.7434	0.7058	0.7138	0.793	0.7898	0.4262	0.7312	0.737	0.7348	0.979	0.7302	0.783	0.822	0.8528	0.9374	0.651	0.8998	0.7604	0.8634	0.7282	0.7396	0.8514	0.8644	0.8426	0.7276	0.8736	0.7718	0.8884	0.441	0.892	0.932	0.8028	0.9426	0.847	0.7886	0.7942	0.9392	0.8014	0.431	0.8048	0.7196	0.8242	0.7958	0.7594	0.6822	0.613	0.9132	0.7102	0.649	0.8518	0.8858	0.7588	0.7064	0.7308	0.8322	0.829	0.5342	0.6896	0.696	0.7366	0.9528	0.8056	0.0	0.4108	0.7906	0.809	0.858
H0456	0.7472	0.7192	0.6478	0.6986	0.8374	0.8048	0.3558	0.6684	0.704	0.6886	0.9824	0.6874	0.7608	0.7778	0.8386	0.9274	0.7408	0.9154	0.7424	0.8796	0.6744	0.7234	0.8522	0.8234	0.784	0.6892	0.8378	0.749	0.9022	0.3194	0.8428	0.9426	0.8128	0.9408	0.7714	0.8062	0.8032	0.9424	0.8482	0.4306	0.8314	0.7696	0.8868	0.7592	0.687	0.694	0.5114	0.9272	0.658	0.5698	0.868	0.8946	0.785	0.6842	0.7134	0.835	0.8806	0.4824	0.7156	0.7552	0.7442	0.9506	0.7994	0.4108	0.0	0.8268	0.8522	0.8778
H0475	0.6294	0.676	0.7448	0.8484	0.8858	0.8088	0.7742	0.834	0.8648	0.8046	0.9624	0.5118	0.7914	0.7898	0.951	0.9356	0.8212	0.873	0.8918	0.8734	0.6976	0.83	0.7292	0.9226	0.8688	0.7558	0.875	0.879	0.8786	0.8042	0.9286	0.9406	0.8892	0.9142	0.879	0.5576	0.3592	0.9598	0.8604	0.7838	0.8356	0.6692	0.452	0.882	0.742	0.8162	0.8148	0.8952	0.6652	0.8094	0.5886	0.917	0.6908	0.756	0.4202	0.8834	0.9	0.837	0.736	0.7668	0.7696	0.9028	0.8892	0.7906	0.8268	0.0	0.7492	0.8672
H0479	0.5576	0.76	0.7828	0.7086	0.934	0.6324	0.8478	0.8292	0.8566	0.8672	0.9346	0.8408	0.8916	0.745	0.8984	0.8664	0.7562	0.8822	0.8368	0.8138	0.8758	0.8962	0.7186	0.8402	0.8162	0.8974	0.7974	0.8752	0.83	0.8504	0.9528	0.8864	0.933	0.9268	0.9092	0.8862	0.8294	0.9648	0.891	0.803	0.866	0.4612	0.858	0.9404	0.8332	0.7102	0.9022	0.7706	0.8036	0.7938	0.8934	0.9414	0.6018	0.801	0.8696	0.9452	0.7592	0.9008	0.62	0.5916	0.7802	0.9188	0.9464	0.809	0.8522	0.7492	0.0	0.7174
H0741	0.8032	0.8982	0.885	0.7644	0.9222	0.831	0.8692	0.8906	0.8244	0.9294	0.9692	0.8658	0.8734	0.8328	0.883	0.795	0.763	0.6676	0.859	0.595	0.9434	0.904	0.833	0.731	0.8582	0.9268	0.7884	0.8886	0.854	0.8702	0.904	0.808	0.9154	0.8758	0.8752	0.8492	0.8952	0.952	0.9024	0.872	0.8326	0.7626	0.902	0.9302	0.9322	0.7782	0.9186	0.8896	0.8304	0.8924	0.939	0.9412	0.7396	0.915	0.8838	0.9522	0.8876	0.8948	0.8118	0.801	0.8764	0.8994	0.9382	0.858	0.8778	0.8672	0.7174	0.0
