	F0008	F0014	F0026	F0032	F0052	F0056	F0058	F0066	F0076	F0078	F0082	F0084	F0098	F0099	F0100	F0117	F0130	F0138	F0139	F0141	F0145	F0148	F0153	F0155	F0170	F0171	F0177	F0181	H0001	H0013	H0020	H0054	H0055	H0060	H0063	H0065	H0070	H0074	H0085	H0086	H0148	H0149	H0172	H0180	H0202	H0210	H0211	H0270	H0277	H0280	H0281	H0289	H0303	H0322	H0323	H0349	H0368	H0372	H0377	H0391	H0392	H0407	H0427	H0447	H0456	H0475	H0479	H0741
F0181	0.7538	0.7822	0.4488	0.5774	0.85	0.7968	0.7484	0.4858	0.5668	0.6822	0.9918	0.7194	0.6976	0.7508	0.8842	0.9582	0.7428	0.8956	0.6572	0.837	0.7652	0.379	0.8102	0.8	0.6722	0.7392	0.7864	0.0	0.8778	0.7092	0.7524	0.9204	0.826	0.9312	0.7206	0.881	0.7866	0.9486	0.851	0.798	0.8158	0.8294	0.9156	0.7898	0.7374	0.6886	0.6808	0.8862	0.6498	0.6832	0.9104	0.8984	0.8258	0.7294	0.7368	0.8478	0.8514	0.7882	0.7824	0.7488	0.7454	0.9372	0.8092	0.7718	0.749	0.879	0.8752	0.8886
H0001	0.8122	0.8536	0.846	0.863	0.9066	0.847	0.876	0.8718	0.8838	0.84	0.9596	0.8616	0.898	0.8218	0.859	0.8908	0.804	0.8322	0.8808	0.868	0.8742	0.8794	0.7912	0.8032	0.8538	0.889	0.8602	0.8778	0.0	0.8822	0.895	0.9278	0.8804	0.8298	0.88	0.8504	0.866	0.9276	0.9098	0.8894	0.9124	0.7858	0.8906	0.9022	0.877	0.8488	0.8916	0.7282	0.8336	0.8438	0.9124	0.9346	0.745	0.8662	0.8566	0.7408	0.7716	0.8824	0.8182	0.8142	0.8196	0.704	0.8922	0.8884	0.9022	0.8786	0.83	0.854
H0013	0.7302	0.7048	0.624	0.683	0.8076	0.777	0.3612	0.6226	0.6582	0.6556	0.9888	0.6608	0.738	0.7434	0.8108	0.904	0.6958	0.8996	0.7172	0.85	0.6514	0.6536	0.833	0.806	0.7742	0.6668	0.821	0.7092	0.8822	0.0	0.83	0.9244	0.7918	0.9254	0.7272	0.7956	0.7894	0.9396	0.843	0.3706	0.8016	0.751	0.874	0.7392	0.6592	0.654	0.4754	0.9102	0.6452	0.535	0.8578	0.8888	0.766	0.6444	0.6942	0.7778	0.8742	0.463	0.6868	0.7276	0.7372	0.9428	0.7822	0.441	0.3194	0.8042	0.8504	0.8702
H0020	0.856	0.846	0.7256	0.827	0.9212	0.9126	0.8422	0.6516	0.748	0.7678	0.9946	0.7718	0.6964	0.8212	0.9642	0.971	0.8718	0.9172	0.5024	0.9054	0.8064	0.6212	0.8866	0.8156	0.6956	0.7882	0.7978	0.7524	0.895	0.83	0.0	0.9372	0.8824	0.9608	0.2564	0.891	0.8812	0.9496	0.9374	0.8798	0.9408	0.9172	0.931	0.8418	0.799	0.8826	0.7374	0.9584	0.7412	0.8326	0.9364	0.9464	0.8972	0.817	0.811	0.8892	0.932	0.8352	0.8688	0.9144	0.8582	0.9036	0.8522	0.892	0.8428	0.9286	0.9528	0.904
H0054	0.8938	0.917	0.9314	0.916	0.9554	0.9328	0.9286	0.9304	0.9242	0.9312	0.975	0.9146	0.8386	0.8568	0.9708	0.925	0.919	0.7746	0.9252	0.7128	0.9292	0.9122	0.7706	0.7354	0.7016	0.9246	0.8042	0.9204	0.9278	0.9244	0.9372	0.0	0.9422	0.9436	0.9256	0.9196	0.941	0.9748	0.9668	0.9306	0.4972	0.9156	0.942	0.9384	0.9188	0.9076	0.9328	0.9528	0.9018	0.93	0.9514	0.9674	0.8154	0.92	0.921	0.9166	0.9474	0.933	0.898	0.9016	0.921	0.9386	0.9362	0.932	0.9426	0.9406	0.8864	0.808
H0055	0.8346	0.778	0.7708	0.8404	0.4174	0.8734	0.7782	0.791	0.8388	0.7832	0.994	0.7906	0.881	0.8702	0.9378	0.9522	0.7954	0.9372	0.8356	0.9216	0.7886	0.7954	0.8662	0.8858	0.8766	0.7908	0.8974	0.826	0.8804	0.7918	0.8824	0.9422	0.0	0.9452	0.858	0.842	0.8246	0.9448	0.3924	0.7936	0.8632	0.8778	0.9076	0.2964	0.7984	0.8328	0.8276	0.9466	0.7854	0.7996	0.9044	0.3724	0.8568	0.808	0.791	0.8714	0.9228	0.8156	0.8258	0.8584	0.8114	0.9324	0.359	0.8028	0.8128	0.8892	0.933	0.9154
H0060	0.9128	0.9388	0.94	0.8992	0.9492	0.9378	0.9286	0.9398	0.9152	0.9356	0.9648	0.933	0.9002	0.9286	0.9196	0.8466	0.8904	0.8824	0.9296	0.9144	0.9478	0.9348	0.9112	0.898	0.8764	0.9464	0.9116	0.9312	0.8298	0.9254	0.9608	0.9436	0.9452	0.0	0.9472	0.9156	0.9254	0.841	0.952	0.94	0.9318	0.8988	0.9412	0.9596	0.9428	0.905	0.9454	0.8234	0.8762	0.9084	0.8306	0.96	0.8844	0.9382	0.9264	0.9092	0.8914	0.935	0.886	0.892	0.8938	0.8978	0.9466	0.9426	0.9408	0.9142	0.9268	0.8758
H0063	0.7794	0.811	0.657	0.777	0.9064	0.8788	0.722	0.5654	0.708	0.7032	0.9916	0.6744	0.6188	0.7368	0.8772	0.876	0.833	0.9046	0.4716	0.8902	0.7312	0.5254	0.8432	0.7918	0.6404	0.697	0.7406	0.7206	0.88	0.7272	0.2564	0.9256	0.858	0.9472	0.0	0.798	0.7896	0.9446	0.914	0.7724	0.9066	0.8674	0.8924	0.8096	0.7372	0.8468	0.6192	0.9418	0.6572	0.724	0.9024	0.9334	0.8046	0.7634	0.742	0.7572	0.9132	0.7332	0.8224	0.873	0.7686	0.8548	0.7966	0.847	0.7714	0.879	0.9092	0.8752
H0065	0.7134	0.74	0.7856	0.8782	0.871	0.8594	0.7488	0.8468	0.8764	0.8056	0.971	0.4676	0.7476	0.7748	0.9104	0.8498	0.8184	0.8704	0.8838	0.8868	0.6916	0.774	0.7568	0.82	0.8514	0.6704	0.836	0.881	0.8504	0.7956	0.891	0.9196	0.842	0.9156	0.798	0.0	0.542	0.9458	0.8824	0.8028	0.8702	0.7518	0.4736	0.8228	0.7654	0.8818	0.7896	0.9012	0.556	0.8072	0.649	0.9132	0.6904	0.7604	0.5892	0.754	0.8896	0.7954	0.6958	0.8268	0.7044	0.8424	0.807	0.7886	0.8062	0.5576	0.8862	0.8492
H0070	0.6852	0.7532	0.6396	0.7916	0.8522	0.7908	0.7652	0.7278	0.8022	0.7838	0.9762	0.4514	0.7748	0.7694	0.9398	0.9286	0.8048	0.9352	0.8208	0.9352	0.7256	0.762	0.717	0.8898	0.8318	0.7604	0.8416	0.7866	0.866	0.7894	0.8812	0.941	0.8246	0.9254	0.7896	0.542	0.0	0.9454	0.8578	0.755	0.8652	0.7294	0.5672	0.8274	0.7786	0.8282	0.7754	0.9072	0.5876	0.798	0.6236	0.902	0.6792	0.803	0.3004	0.8458	0.8832	0.8082	0.7694	0.7958	0.7072	0.8856	0.7972	0.7942	0.8032	0.3592	0.8294	0.8952
H0074	0.9448	0.9392	0.9436	0.9554	0.9538	0.9542	0.9394	0.9446	0.96	0.936	0.9872	0.9314	0.942	0.958	0.9594	0.9626	0.9278	0.9704	0.9342	0.969	0.9416	0.9492	0.949	0.934	0.9412	0.9418	0.9684	0.9486	0.9276	0.9396	0.9496	0.9748	0.9448	0.841	0.9446	0.9458	0.9454	0.0	0.9574	0.9418	0.9614	0.9572	0.9632	0.9508	0.9388	0.9558	0.9368	0.9544	0.9324	0.9348	0.918	0.9584	0.9324	0.9354	0.9274	0.9534	0.9532	0.9344	0.9396	0.9434	0.9414	0.9848	0.946	0.9392	0.9424	0.9598	0.9648	0.952
H0085	0.8184	0.8154	0.8262	0.8284	0.2876	0.8972	0.8168	0.854	0.859	0.8526	0.9816	0.845	0.9204	0.8936	0.9516	0.9626	0.773	0.9316	0.8636	0.8874	0.8578	0.8618	0.8962	0.9262	0.9136	0.855	0.9346	0.851	0.9098	0.843	0.9374	0.9668	0.3924	0.952	0.914	0.8824	0.8578	0.9574	0.0	0.846	0.835	0.8298	0.881	0.3696	0.861	0.8272	0.8672	0.9562	0.844	0.8488	0.8766	0.4412	0.8742	0.8552	0.8584	0.9118	0.9368	0.87	0.8468	0.819	0.8376	0.937	0.4792	0.8014	0.8482	0.8604	0.891	0.9024
H0086	0.7336	0.7308	0.6852	0.7376	0.8202	0.7682	0.4472	0.6932	0.7554	0.697	0.9776	0.727	0.8268	0.8208	0.7696	0.8362	0.7166	0.9222	0.7846	0.8908	0.703	0.7322	0.8506	0.8606	0.8502	0.755	0.8722	0.798	0.8894	0.3706	0.8798	0.9306	0.7936	0.94	0.7724	0.8028	0.755	0.9418	0.846	0.0	0.8188	0.7466	0.8722	0.7928	0.725	0.7212	0.5296	0.9148	0.701	0.5596	0.8608	0.8874	0.763	0.7222	0.7492	0.7432	0.8724	0.426	0.7096	0.761	0.7504	0.9508	0.7882	0.431	0.4306	0.7838	0.803	0.872
H0148	0.8274	0.8664	0.8468	0.7028	0.853	0.893	0.8208	0.8632	0.7072	0.884	0.9782	0.8264	0.8468	0.8164	0.9254	0.9666	0.7402	0.7274	0.863	0.7186	0.8784	0.8576	0.7912	0.921	0.7276	0.9032	0.8794	0.8158	0.9124	0.8016	0.9408	0.4972	0.8632	0.9318	0.9066	0.8702	0.8652	0.9614	0.835	0.8188	0.0	0.8158	0.876	0.8516	0.8696	0.6258	0.889	0.9526	0.8308	0.8434	0.8788	0.8926	0.8048	0.8718	0.835	0.865	0.9206	0.862	0.8284	0.7834	0.8288	0.9092	0.8616	0.8048	0.8314	0.8356	0.866	0.8326
H0149	0.457	0.706	0.7134	0.6952	0.8718	0.6732	0.7362	0.8056	0.7944	0.8054	0.9612	0.741	0.8174	0.7404	0.9458	0.9174	0.6212	0.8624	0.801	0.8308	0.7874	0.8452	0.7042	0.8652	0.794	0.8158	0.87	0.8294	0.7858	0.751	0.9172	0.9156	0.8778	0.8988	0.8674	0.7518	0.7294	0.9572	0.8298	0.7466	0.8158	0.0	0.7528	0.861	0.7828	0.6746	0.8206	0.7582	0.7418	0.7052	0.7962	0.9128	0.6298	0.7748	0.7462	0.9008	0.7306	0.8356	0.4058	0.4352	0.6894	0.8652	0.9032	0.7196	0.7696	0.6692	0.4612	0.7626
H0172	0.7472	0.7826	0.8188	0.889	0.9024	0.8684	0.8276	0.8912	0.9094	0.8684	0.9562	0.577	0.6846	0.8518	0.9714	0.929	0.8688	0.9004	0.9106	0.907	0.6924	0.8496	0.7728	0.9246	0.8756	0.701	0.9058	0.9156	0.8906	0.874	0.931	0.942	0.9076	0.9412	0.8924	0.4736	0.5672	0.9632	0.881	0.8722	0.876	0.7528	0.0	0.8828	0.813	0.895	0.8602	0.942	0.714	0.8728	0.6182	0.9282	0.7838	0.7772	0.5476	0.9042	0.9274	0.8918	0.7964	0.835	0.8112	0.9046	0.9012	0.8242	0.8868	0.452	0.858	0.902
H0180	0.8126	0.7596	0.7408	0.8118	0.3712	0.8878	0.7368	0.7644	0.8052	0.7562	0.9944	0.7514	0.8302	0.8396	0.9466	0.9512	0.7798	0.9354	0.787	0.9294	0.7462	0.7598	0.8574	0.852	0.8282	0.7466	0.8634	0.7898	0.9022	0.7392	0.8418	0.9384	0.2964	0.9596	0.8096	0.8228	0.8274	0.9508	0.3696	0.7928	0.8516	0.861	0.8828	0.0	0.7512	0.8226	0.7846	0.9626	0.7406	0.7748	0.8872	0.4114	0.88	0.7534	0.7396	0.8654	0.9456	0.7856	0.805	0.8526	0.8018	0.9442	0.3706	0.7958	0.7592	0.882	0.9404	0.9302
H0202	0.6428	0.4014	0.61	0.7448	0.8378	0.8462	0.6408	0.6184	0.7336	0.325	0.9898	0.6156	0.6644	0.6666	0.897	0.9322	0.812	0.9322	0.776	0.8906	0.3704	0.6436	0.7504	0.6888	0.7072	0.4162	0.7482	0.7374	0.877	0.6592	0.799	0.9188	0.7984	0.9428	0.7372	0.7654	0.7786	0.9388	0.861	0.725	0.8696	0.7828	0.813	0.7512	0.0	0.7172	0.6012	0.933	0.666	0.647	0.8398	0.8932	0.7222	0.2692	0.6752	0.8178	0.9154	0.7108	0.7428	0.8006	0.7546	0.9322	0.7618	0.7594	0.687	0.742	0.8332	0.9322
H0210	0.6502	0.7162	0.644	0.432	0.8614	0.6594	0.6872	0.6854	0.4186	0.742	0.9746	0.7336	0.7746	0.6268	0.8866	0.9482	0.6608	0.823	0.7686	0.6734	0.7332	0.7548	0.7162	0.8384	0.758	0.7966	0.7656	0.6886	0.8488	0.654	0.8826	0.9076	0.8328	0.905	0.8468	0.8818	0.8282	0.9558	0.8272	0.7212	0.6258	0.6746	0.895	0.8226	0.7172	0.0	0.7398	0.8218	0.749	0.6506	0.8932	0.9042	0.686	0.7126	0.766	0.8144	0.7762	0.7262	0.6784	0.6356	0.6634	0.9104	0.8314	0.6822	0.694	0.8162	0.7102	0.7782
