response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptococcaceae_1	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptostreptococcaceae	0.00	0.00	0.16	0.58	0.70	0.00	1.70
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae	24.94	26.62	23.10	14.82	 7.28	 4.72	 7.80
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Syntrophomonadaceae	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_unassigned	 5.52	20.92	 4.14	 4.68	 0.62	 6.06	 1.68
k_Bacteria__p_Firmicutes__c_Clostridia__o_Halanaerobiales__f_Halobacteroidaceae	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_unassigned__f_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Erysipelotrichia__o_Erysipelotrichales__f_Erysipelotrichaceae	 9.26	11.10	 1.66	16.92	14.24	 0.00	81.46
k_Bacteria__p_Firmicutes__c_Negativicutes__o_Selenomonadales__f_Acidaminococcaceae	0.74	0.00	0.00	0.20	0.00	0.00	0.04
k_Bacteria__p_Firmicutes__c_Negativicutes__o_Selenomonadales__f_Veillonellaceae	0.02	0.00	2.00	0.04	2.10	0.00	0.02
k_Bacteria__p_Firmicutes__c_Negativicutes__o_Selenomonadales__f_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_unassigned__o_unassigned__f_unassigned	0.04	0.04	0.02	0.00	0.00	0.02	0.00
k_Bacteria__p_Fusobacteria__c_Fusobacteria__o_Fusobacteriales__f_Fusobacteriaceae	0	0	0	0	0	0	0
k_Bacteria__p_Fusobacteria__c_Fusobacteria__o_Fusobacteriales__f_Leptotrichiaceae	0	0	0	0	0	0	0
k_Bacteria__p_Lentisphaerae__c_Lentisphaeria__o_Victivallales__f_Victivallaceae	0.02	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_Kordiimonadales__f_Kordiimonadaceae	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_Rhizobiales__f_Hyphomicrobiaceae	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_Rhodospirillales__f_Rhodospirillaceae	0.68	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_unassigned__f_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales__f_Burkholderiaceae	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales__f_Comamonadaceae	0	0	0	0	0	0	0
