response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
k_Bacteria__p_Firmicutes__c_unassigned__o_unassigned	0.02	0.04	0.04	0.02	0.06	0.02	0.76	0.00	0.00	0.02	0.00	0.04
k_Bacteria__p_Fusobacteria__c_Fusobacteria__o_Fusobacteriales	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.02
k_Bacteria__p_Lentisphaerae__c_Lentisphaeria__o_Victivallales	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_Kordiimonadales	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_Rhizobiales	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_Rhodospirillales	0.00	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_unassigned	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales	0.40	0.22	0.04	1.12	0.00	0.00	0.00	0.06	0.24	0.00	0.04	0.16
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Neisseriales	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Deltaproteobacteria__o_Desulfovibrionales	0.08	0.00	0.00	0.00	0.00	0.04	0.00	0.02	0.02	0.00	0.14	0.00
k_Bacteria__p_Proteobacteria__c_Epsilonproteobacteria__o_Campylobacterales	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria__o_Enterobacteriales	0.02	0.00	0.42	0.00	0.08	0.54	0.00	0.00	3.24	0.00	0.12	0.00
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria__o_Pasteurellales	0.02	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria__o_Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_unassigned__o_unassigned	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Spirochaetes__c_Spirochaetes__o_Spirochaetales	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Synergistetes__c_Synergistia__o_Synergistales	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_TM7__c_Incertae_sedis__o_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Verrucomicrobia__c_Verrucomicrobiae__o_Verrucomicrobiales	0.06	0.00	0.00	0.08	0.02	0.00	0.02	0.00	0.00	0.18	0.00	0.00
k_Bacteria__p_unassigned__c_unassigned__o_unassigned	0.52	9.26	4.38	2.82	1.76	0.00	0.78	0.26	0.14	0.00	0.02	0.04
