"v1"	"log2_FC"	"Pvalue"	"fdr"
"k_Bacteria.p_Actinobacteria"	-0.25197908495781	"0.721276699029156"	1
"k_Bacteria.p_Bacteroidetes"	-0.0769596376710748	"1"	1
"k_Bacteria.p_Firmicutes"	-0.0750015943343889	"0.857142857142857"	1
"k_Bacteria.p_Lentisphaerae"	12.7029662668557	"0.386476230771233"	0.8
"k_Bacteria.p_Proteobacteria"	-0.203607903415549	"0.4"	0.8
"k_Bacteria.p_Synergistetes"	13.702858076899	"0.386476230771233"	0.8
"k_Bacteria.p_Verrucomicrobia"	-0.754865461647387	"1"	1
"k_Bacteria.p_unassigned"	5.70745521997998	"0.0571428571428571"	0.457142857142857
