response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Collinsella	0.00	0.28	0.00	3.50	0.00	5.50	0.38	0.00	6.36	0.64	0.00	0.30
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Cryptobacterium	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Denitrobacterium	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Eggerthella	0.10	0.42	0.32	0.00	0.12	3.78	0.02	0.34	0.40	0.18	0.02	0.02
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Enterorhabdus	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Gordonibacter	0.06	0.06	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.04	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Incertae_sedis	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Olsenella	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Paraeggerthella	0.00	0.00	0.00	0.00	0.00	0.74	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Slackia	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.02
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_unassigned	0.00	0.26	0.00	0.08	0.00	0.30	0.10	0.00	0.00	0.00	0.00	0.04
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_unassigned__f_unassigned__g_unassigned	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Bacteroidaceae__g_Acetomicrobium	0.02	0.06	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Bacteroidaceae__g_Bacteroides	 6.56	 7.46	 3.46	18.24	 5.22	 0.14	 7.24	11.14	 5.96	33.20	 0.26	10.54
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Barnesiella	0.00	0.54	0.00	0.18	0.04	0.02	0.00	0.00	0.00	0.00	0.00	0.02
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Butyricimonas	0.00	0.08	0.00	0.14	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.04
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Dysgonomonas	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Odoribacter	0.00	0.22	0.00	0.08	0.02	0.00	0.00	0.04	0.00	0.00	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Paludibacter	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Parabacteroides	0.04	1.18	0.00	0.48	0.08	0.04	0.06	0.80	0.32	0.02	0.02	0.12
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_unassigned	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Prevotellaceae__g_Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Prevotellaceae__g_Prevotella	0.02	0.00	0.00	0.00	0.00	0.02	0.06	0.88	0.02	0.00	0.00	1.72
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Rikenellaceae__g_Alistipes	0.34	1.64	0.00	5.46	0.92	0.02	0.70	0.06	0.38	3.12	0.06	0.48
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_unassigned__g_unassigned	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_unassigned__o_unassigned__f_unassigned__g_unassigned	0.00	0.18	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillaceae_1__g_Anoxybacillus	0	0	0	0	0	0	0	0	0	0	0	0
