Row.names	v1	response	LDA	p_value	log2_FC	Pvalue	fdr
K00850	3.41117452199965	Nonresponder	2.18187801247591	0.024974679293054212	-0.111908400901089	0.484848484848485	0.903857576292682
K01008	2.64478638382133	Responder	2.01018250786523	0.024974679293054212	0.775702394626348	0.0411255411255411	0.903857576292682
K01154	3.26484664287207	Nonresponder	2.49533796135105	0.07816908582428352	-0.414377108337295	0.132034632034632	0.903857576292682
K01190	3.27464215558285	Nonresponder	2.22317617078841	0.05466393589167521	-0.405317444883651	0.588744588744589	0.903857576292682
K01448	3.31237978496389	Responder	2.20220460081818	0.07816908582428352	0.25394732236307	0.24025974025974	0.903857576292682
K01625	2.90464382747629	Nonresponder	2.06009323681915	0.05466393589167521	-0.402429376958357	0.24025974025974	0.903857576292682
K02030	3.31794723163241	Responder	2.30004584731592	0.05466393589167521	0.295219307863934	0.132034632034632	0.903857576292682
K03530	3.14264810429324	Nonresponder	2.05930461999588	0.07816908582428352	-0.25488306814261	0.30952380952381	0.903857576292682
K06889	3.23771166245024	Nonresponder	2.12797458989642	0.05466393589167521	-0.167583035328229	0.30952380952381	0.903857576292682
K07402	2.79294214431418	Responder	2.0446439870906	0.003947751856903456	0.601807656007185	0.025974025974026	0.903857576292682
K15987	2.65546258877964	Responder	2.01084145229774	0.024974679293054212	0.640614385000803	0.0649350649350649	0.903857576292682
