response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillaceae_1__g_Anoxybacillus	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillaceae_1__g_Bacillus	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillaceae_2__g_Gracilibacillus	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillales_Incertae_Sedis_XI__g_Gemella	0.02	0.00	0.00	0.02	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillales_Incertae_Sedis_XII__g_Exiguobacterium	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Listeriaceae__g_Brochothrix	0.00	0.00	0.00	0.02	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Listeriaceae__g_Listeria	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Paenibacillaceae_1__g_Cohnella	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Paenibacillaceae_1__g_Paenibacillus	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Planococcaceae__g_Paenisporosarcina	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Staphylococcaceae__g_Jeotgalicoccus	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Staphylococcaceae__g_Staphylococcus	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Thermoactinomycetaceae_1__g_Desmospora	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_unassigned__g_unassigned	0.00	0.00	0.18	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Carnobacteriaceae__g_Atopococcus	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Carnobacteriaceae__g_Carnobacterium	0.00	0.00	0.00	0.04	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Carnobacteriaceae__g_Granulicatella	0.06	0.06	0.00	0.02	0.00	0.00	0.14
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Enterococcaceae__g_Enterococcus	 0.02	 0.96	 0.00	26.34	 0.00	 0.00	 0.02
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Lactobacillaceae__g_Lactobacillus	0.10	0.32	0.02	0.04	1.54	0.00	0.02
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Leuconostocaceae__g_Fructobacillus	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Leuconostocaceae__g_Leuconostoc	0.00	0.00	0.00	0.02	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Leuconostocaceae__g_Weissella	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Streptococcaceae__g_Lactococcus	0.16	0.00	0.00	0.10	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Streptococcaceae__g_Streptococcus	 5.74	10.48	 0.16	 0.50	13.12	 0.20	 0.54
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Streptococcaceae__g_unassigned	0	0	0	0	0	0	0
