response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_IV	0.00	0.04	0.18	0.02	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XI	0.00	0.00	0.00	0.00	0.00	0.84	0.00	0.00	0.02	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XII	0.00	0.12	0.00	0.02	0.10	0.00	0.04	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XIII	0.00	0.00	0.46	0.08	0.16	0.14	0.06	0.00	0.00	0.00	0.10	0.12
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Eubacteriaceae	0.02	0.16	0.06	0.62	0.10	0.66	1.06	0.12	0.28	0.00	0.02	0.08
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Gracilibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Incertae_Sedis_XI	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Incertae_sedis	0.04	0.18	0.00	0.08	0.10	0.00	0.16	0.06	0.00	0.00	0.02	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae	13.04	29.24	17.94	33.08	19.20	50.54	31.12	21.26	42.68	51.58	 4.96	 7.62
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptococcaceae_1	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptostreptococcaceae	11.70	 0.00	 0.00	 0.16	 0.52	 9.94	 0.54	 0.58	 0.70	 0.00	 1.70	 1.96
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae	34.10	24.94	26.62	23.10	18.32	11.22	45.22	14.82	 7.28	 4.72	 7.80	60.64
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Syntrophomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_unassigned	 0.66	 5.52	20.92	 4.14	 5.06	 1.80	 4.00	 4.68	 0.62	 6.06	 1.68	13.06
k_Bacteria__p_Firmicutes__c_Clostridia__o_Halanaerobiales__f_Halobacteroidaceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_unassigned__f_unassigned	0.10	0.00	0.00	0.00	0.02	0.00	0.12	0.00	0.00	0.00	0.00	0.02
k_Bacteria__p_Firmicutes__c_Erysipelotrichia__o_Erysipelotrichales__f_Erysipelotrichaceae	 8.54	 9.26	11.10	 1.66	45.34	 6.84	 5.36	16.92	14.24	 0.00	81.46	 1.86
k_Bacteria__p_Firmicutes__c_Negativicutes__o_Selenomonadales__f_Acidaminococcaceae	0.00	0.74	0.00	0.00	0.46	0.26	0.04	0.20	0.00	0.00	0.04	0.00
k_Bacteria__p_Firmicutes__c_Negativicutes__o_Selenomonadales__f_Veillonellaceae	0.00	0.02	0.00	2.00	0.00	0.00	0.60	0.04	2.10	0.00	0.02	0.40
k_Bacteria__p_Firmicutes__c_Negativicutes__o_Selenomonadales__f_unassigned	0.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_unassigned__o_unassigned__f_unassigned	0.02	0.04	0.04	0.02	0.06	0.02	0.76	0.00	0.00	0.02	0.00	0.04
k_Bacteria__p_Fusobacteria__c_Fusobacteria__o_Fusobacteriales__f_Fusobacteriaceae	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.02
k_Bacteria__p_Fusobacteria__c_Fusobacteria__o_Fusobacteriales__f_Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Lentisphaerae__c_Lentisphaeria__o_Victivallales__f_Victivallaceae	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_Kordiimonadales__f_Kordiimonadaceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_Rhizobiales__f_Hyphomicrobiaceae	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_Rhodospirillales__f_Rhodospirillaceae	0.00	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria__o_unassigned__f_unassigned	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales__f_Burkholderiaceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales__f_Comamonadaceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales__f_Oxalobacteraceae	0.00	0.02	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales__f_Sutterellaceae	0.40	0.20	0.04	1.02	0.00	0.00	0.00	0.06	0.24	0.00	0.04	0.16
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Burkholderiales__f_unassigned	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria__o_Neisseriales__f_Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Deltaproteobacteria__o_Desulfovibrionales__f_Desulfovibrionaceae	0.08	0.00	0.00	0.00	0.00	0.04	0.00	0.02	0.02	0.00	0.14	0.00
k_Bacteria__p_Proteobacteria__c_Epsilonproteobacteria__o_Campylobacterales__f_Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria__o_Enterobacteriales__f_Enterobacteriaceae	0.02	0.00	0.42	0.00	0.08	0.54	0.00	0.00	3.24	0.00	0.12	0.00
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria__o_Pasteurellales__f_Pasteurellaceae	0.02	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria__o_Pseudomonadales__f_Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_unassigned__o_unassigned__f_unassigned	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Spirochaetes__c_Spirochaetes__o_Spirochaetales__f_Spirochaetaceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Synergistetes__c_Synergistia__o_Synergistales__f_Synergistaceae	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_TM7__c_Incertae_sedis__o_Incertae_sedis__f_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Verrucomicrobia__c_Verrucomicrobiae__o_Verrucomicrobiales__f_Verrucomicrobiaceae	0.06	0.00	0.00	0.08	0.02	0.00	0.02	0.00	0.00	0.18	0.00	0.00
k_Bacteria__p_unassigned__c_unassigned__o_unassigned__f_unassigned	0.52	9.26	4.38	2.82	1.76	0.00	0.78	0.26	0.14	0.00	0.02	0.04
