response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
K00133	4410.57	3983.00	4114.77	4492.96	3887.99	4181.65	2658.33
K00134	4647.74	4049.43	4251.77	4532.54	3943.78	4240.65	2712.46
K00135	 35.92	 23.43	  8.75	  6.25	106.71	  1.00	 16.88
K00137	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00138	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00140	 13	107	  3	109	 11	 23	 20
K00141	0	0	0	0	0	0	0
K00145	4320.68	2740.50	3992.77	4491.86	3687.92	4204.98	2548.25
K00146	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
K00147	4336.50	3889.00	3995.44	4434.36	3839.74	4115.65	2595.58
K00148	0	0	0	0	0	0	0
K00151	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
K00153	2	1	0	2	0	1	0
K00154	0	0	0	0	0	0	0
K00156	 54.64	175.43	 70.58	 23.92	 52.71	  7.25	  2.08
K00158	 81.16	167.23	  2.40	 18.57	354.46	  3.07	 18.67
K00161	238.49	248.24	148.39	118.48	155.79	323.40	 97.17
K00162	163.49	248.24	147.39	118.48	155.79	323.40	 97.17
K00163	14.17	 9.43	 7.00	 2.00	35.21	 2.00	 2.08
K00164	28.17	11.43	58.33	 5.00	47.21	 5.00	 4.08
K00166	0.00	0.00	1.33	0.00	0.00	3.00	0.00
K00167	0.00	0.00	1.33	0.00	0.00	3.00	0.00
K00169	298.4	964.0	189.0	990.5	 37.0	147.5	840.5
K00170	455.4	465.0	531.0	 59.5	223.0	104.5	 39.5
K00171	228.4	294.0	135.0	 19.0	  9.0	 97.0	 36.0
K00172	 653.4	1206.0	 547.0	 916.5	 229.0	 134.5	 831.5
K00174	2943.25	1488.84	3118.42	1896.57	 846.99	2832.33	 372.83
K00175	2943.25	1488.84	3118.42	1896.57	 846.99	2832.33	 372.83
K00176	1663.24	 581.01	1806.54	 899.06	 369.75	1647.58	 212.50
K00177	1668.24	 641.01	1806.54	1002.06	 369.75	1662.58	 225.50
K00179	2127.97	1466.02	1892.95	1836.59	1160.50	2173.41	 409.75
K00180	2130.97	1526.02	1836.95	1938.59	1160.50	2188.41	 421.75
K00183	36.0	24.0	 4.0	25.5	35.0	16.5	 1.5
K00184	101.50	 58.00	 58.33	 64.50	 91.50	 44.50	 13.50
K00185	64.50	40.00	 6.33	44.50	57.00	27.50	10.50
K00187	1	0	0	0	0	0	0
K00188	1	0	0	0	0	0	0
K00194	 160.00	 179.00	 379.00	 147.25	1135.25	 191.00	  36.25
K00196	 253.06	 266.02	 689.32	 283.91	1150.25	 294.66	 102.25
K00197	 160.00	 179.00	 379.00	 147.25	1135.25	 191.00	  37.25
K00198	 509.23	1042.51	1026.66	1010.08	2419.00	 509.33	 281.75
K00208	 426.68	 210.43	 882.21	 524.98	 432.96	1139.75	  33.08
K00209	 456.00	 209.33	 493.00	 145.00	1248.00	 230.00	  52.00
K00210	 277.30	 196.00	 558.25	 473.75	 280.50	1045.75	   9.00
K00215	5500.07	4650.01	4479.43	5481.79	4626.40	4338.48	4008.25
K00216	 2.00	 4.43	 0.00	 2.00	29.21	 1.00	 1.08
K00218	  5	 60	  0	103	  0	 15	 12
K00219	 41.33	130.44	 21.66	151.33	 56.21	 85.33	 41.08
K00220	0	0	0	0	0	0	0
K00226	 473.40	 321.24	 776.69	 524.41	 523.54	1180.15	  46.67
K00228	16.17	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00230	 22.47	 99.43	 84.00	108.00	 57.21	 20.00	 17.08
K00231	13.79	 6.00	 8.05	17.56	10.25	 2.00	 1.00
K00232	0	0	0	0	0	0	0
K00239	 596.08	 390.43	 790.21	 644.48	 358.29	1176.25	  36.58
K00240	 531.58	 242.43	 781.21	 515.98	 344.29	1147.75	  16.08
K00241	 517.18	 205.43	 780.21	 513.98	 343.96	1141.75	  16.08
K00242	 9.17	 4.43	 0.00	 2.00	29.21	 1.00	 1.08
K00243	2077.00	1178.07	2553.94	1570.46	2691.28	3628.15	 295.75
K00244	 256.50	2326.77	 903.66	 329.33	 772.21	1571.33	 187.88
K00245	20.17	16.43	51.00	12.50	53.21	 4.50	10.58
K00246	 9.67	 8.43	50.00	 4.00	43.21	 0.00	10.08
K00247	 5.67	 6.43	 0.00	 0.00	30.21	 0.00	 1.08
K00248	2786.00	 493.01	1887.99	1734.00	 853.24	2006.33	 357.08
K00249	0	0	0	0	0	0	0
K00252	9	0	0	0	0	0	0
K00253	0	0	0	0	0	0	0
K00254	116.42	178.43	317.33	  8.00	 68.21	 98.25	  7.08
K00256	0	0	0	0	0	0	0
K00257	 426.51	 167.00	 774.88	 501.18	 306.75	1136.75	  13.00
K00259	 514.26	1059.50	 874.55	1716.28	1045.91	1333.42	2074.17
K00260	44.33	17.01	 7.66	25.91	17.58	39.33	41.25
K00261	 28.06	119.02	  9.32	139.66	 18.00	101.66	 60.00
K00262	4653.85	4320.00	4522.65	5187.06	4070.83	5437.40	2700.17
K00263	0	0	0	0	0	0	1
K00265	275.09	219.43	454.88	438.06	327.29	444.25	 18.58
K00266	7803.83	9044.95	7120.74	9423.25	8076.79	7344.49	7185.33
K00270	0	0	0	0	0	0	0
K00274	 1	29	 0	 2	 2	 3	 0
K00275	243.47	205.43	229.58	384.25	 61.71	432.25	  6.08
K00276	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
